State,gdp_per_capita
Alabama,37508
Alaska,63610
Arizona,39583
Arkansas,36714
California,60359
Colorado,54026
Connecticut,62633
Delaware,63955
District of Columbia,159607
Florida,39842
Georgia,45925
Hawaii,52869
Idaho,36441
Illinois,55102
Indiana,46427
Iowa,52284
Kansas,47435
Kentucky,39277
Louisiana,44372
Maine,39521
Maryland,56375
Massachusetts,66500
Michigan,44201
Minnesota,54805
Mississippi,32447
Missouri,43036
Montana,39833
Nebraska,54654
Nevada,44812
New Hampshire,52509
New Jersey,56776
New Mexico,41619
New York,65220
North Carolina,44706
North Dakota,64911
Ohio,48188
Oklahoma,44535
Oregon,51312
Pennsylvania,51841
Rhode Island,48314
South Carolina,37637
South Dakota,48004
Tennessee,44348
Texas,53737
Utah,45493
Vermont,44831
Virginia,52124
Washington,59333
West Virginia,37353
Wisconsin,48666
Wyoming,61091
Puerto Rico,27278
