Id,Geography,MedianIncome
0500000US01001,"Autauga County, Alabama",55317
0500000US01003,"Baldwin County, Alabama",52562
0500000US01005,"Barbour County, Alabama",33368
0500000US01007,"Bibb County, Alabama",43404
0500000US01009,"Blount County, Alabama",47412
0500000US01011,"Bullock County, Alabama",29655
0500000US01013,"Butler County, Alabama",36326
0500000US01015,"Calhoun County, Alabama",43686
0500000US01017,"Chambers County, Alabama",37342
0500000US01019,"Cherokee County, Alabama",40041
0500000US01021,"Chilton County, Alabama",43501
0500000US01023,"Choctaw County, Alabama",32122
0500000US01025,"Clarke County, Alabama",33827
0500000US01027,"Clay County, Alabama",37287
0500000US01029,"Cleburne County, Alabama",37396
0500000US01031,"Coffee County, Alabama",49821
0500000US01033,"Colbert County, Alabama",45477
0500000US01035,"Conecuh County, Alabama",30434
0500000US01037,"Coosa County, Alabama",34792
0500000US01039,"Covington County, Alabama",39467
0500000US01041,"Crenshaw County, Alabama",38937
0500000US01043,"Cullman County, Alabama",40997
0500000US01045,"Dale County, Alabama",44711
0500000US01047,"Dallas County, Alabama",30065
0500000US01049,"DeKalb County, Alabama",38842
0500000US01051,"Elmore County, Alabama",54981
0500000US01053,"Escambia County, Alabama",35026
0500000US01055,"Etowah County, Alabama",42064
0500000US01057,"Fayette County, Alabama",36541
0500000US01059,"Franklin County, Alabama",39501
0500000US01061,"Geneva County, Alabama",39293
0500000US01063,"Greene County, Alabama",20954
0500000US01065,"Hale County, Alabama",34679
0500000US01067,"Henry County, Alabama",45569
0500000US01069,"Houston County, Alabama",42803
0500000US01071,"Jackson County, Alabama",39281
0500000US01073,"Jefferson County, Alabama",49321
0500000US01075,"Lamar County, Alabama",36016
0500000US01077,"Lauderdale County, Alabama",44888
0500000US01079,"Lawrence County, Alabama",43779
0500000US01081,"Lee County, Alabama",47564
0500000US01083,"Limestone County, Alabama",52831
0500000US01085,"Lowndes County, Alabama",29785
0500000US01087,"Macon County, Alabama",32308
0500000US01089,"Madison County, Alabama",61318
0500000US01091,"Marengo County, Alabama",32255
0500000US01093,"Marion County, Alabama",35719
0500000US01095,"Marshall County, Alabama",41104
0500000US01097,"Mobile County, Alabama",45802
0500000US01099,"Monroe County, Alabama",26036
0500000US01101,"Montgomery County, Alabama",46545
0500000US01103,"Morgan County, Alabama",47529
